,Date,Location,Dead,Injured,Total,Description,State,Year
59,"December 26, 2000","Wakefield, Massachusetts",7,0,7,"Wakefield massacre: Michael McDermott, an application support employee, shot and killed seven co-workers.", Massachusetts,2000
60,"September 22, 2000","Roanoke, Virginia",1,6,7,"2000 Roanoke shooting: A man entered a gay bar and shot at patrons, killing one and wounding six before being arrested.[235]", Virginia,2000
61,"May 24, 2000","New York City, New York",5,2,7,Wendy's massacre: Two robbers locked seven employees in the restaurant freezer and shot and killed five and wounded two during a robbery.[236], New York,2000
62,"March 20, 2000","Irving, Texas",5,1,6,Irving car wash shooting: A former employee entered a car wash and shot and killed five people and wounded another during a robbery. One of the victims also had his throat slit.[237], Texas,2000
63,"March 1, 2000","Wilkinsburg, Pennsylvania",3,2,5,2000 Wilkinsburg shooting: The perpetrator shot and killed three people in a racially motivated shooting spree.[238], Pennsylvania,2000
0,"August 3, 2010","Manchester, Connecticut",9,2,11,"Hartford Beer Distributors shooting: An employee of Hartford Distributors, a beer distribution company, was fired. In retaliation he shot and killed eight coworkers and injured two others before committing suicide.", Connecticut,2010
1,"May 20, 2010","West Memphis, Arkansas",4,2,6,"2010 West Memphis police shootings: A father and son shot two police officers during a traffic stop, killing both, before getting into a shootout with officers in a Walmart parking lot. In the shootout both shooters were killed and two more officers wounded.", Arkansas,2010
2,"February 12, 2010","Huntsville, Alabama",3,3,6,"2010 University of Alabama in Huntsville shooting: A biology professor opened fire on other faculty members, killing three and injuring three others, before she was arrested.", Alabama,2010
3,"January 19–20, 2010","Appomattox, Virginia",8,0,8,2010 Appomattox shootings: A man shot and killed four family members and four other individuals before being apprehended by police.[198], Virginia,2010
4,"January 12, 2010","Kennesaw, Georgia",4,1,5,"Penske office shooting: A former employee of a Penske truck rental business shot five people, four employees and one customer, at the business. Four people were killed and a fifth injured.", Georgia,2010
5,"January 7, 2010","St. Louis, Missouri",4,5,9,ABB plant shooting: An employee opened fire in the parking lot of an ABB Group power plant before entering the factory. He killed three people and injured five before committing suicide.[199], Missouri,2010
0,"December 16, 2011","Irwindale, California",3,2,5,"Southern California Edison shooting: An employee opened fire during the workday, and killed two and wounded two others before committing suicide.[195]", California,2011
1,"October 12, 2011","Seal Beach, California",8,1,9,Seal Beach shooting: A man entered his ex-wife's workplace and shot and killed eight people and injured one. He then fled the scene and was later arrested., California,2011
2,"September 6, 2011","Carson City, Nevada",5,7,12,"Carson City IHOP shooting: A man opened fire inside and outside an IHOP, and then targeted nearby local businesses. He killed four people and injured seven before committing suicide.", Nevada,2011
3,"August 7, 2011","Copley Township, Ohio",8,1,9,"2011 Copley Township shooting: A man killed seven people; including a 16-year-old and an 11-year-old, and injured one between three homes before being killed by responding police.[196]", Ohio,2011
4,"July 7, 2011","Grand Rapids, Michigan",8,2,10,"Grand Rapids mass murder: A man killed seven people and wounded two in a spree shooting in two homes, then took hostages in a third before committing suicide.", Michigan,2011
5,"June 19, 2011","Medford, New York",4,0,4,2011 Medford shooting: A man killed four people in a pharmacy robbery gone wrong. He was sentenced to life imprisonment.[197], New York,2011
6,"January 8, 2011","Casas Adobes, Arizona",6,15[n 1],21,2011 Tucson shooting: A man killed six people and injured fifteen during an assassination attempt of U.S. Representative Gabrielle Giffords before he was tackled and arrested. Giffords was wounded in the attack but survived., Arizona,2011
0,"December 24, 2012","Webster, New York",4,3,7,"2012 Webster shooting: A man set fire to his home and the family car before opening fire on responding firefighters, two were killed and three wounded before he committed suicide, a fourth body was found in the house.[186]", New York,2012
1,"December 14, 2012","Newtown, Connecticut",28,2,30,"Sandy Hook Elementary School shooting: A 20-year-old killed his mother before shooting and killing twenty children and six adults at Sandy Hook Elementary School in Newtown, Connecticut. He then committed suicide.", Connecticut,2012
2,"December 11, 2012","Clackamas, Oregon",3,1,4,"Clackamas Town Center shooting: A 22-year-old opened fire at the town center wearing a hockey mask, and killed two people and injured a third before fumbling with his weapon and being unable to reload. He committed suicide in a stairwell of the location.[187]", Oregon,2012
3,"November 6, 2012","Fresno, California",3,2,5,"Fresno meat plant shooting: A man shot four coworkers, two fatally, at the meat processing plant he worked at before walking outside and fatally shooting himself in the head.[188]", California,2012
4,"October 21, 2012","Brookfield, Wisconsin",4,4[n 16],8,"Azana Spa shooting: The perpetrator drove to his ex-wife's work place and waited until she was there to confront her and shot and killed her and two other women, and injured four others before committing suicide.[189]", Wisconsin,2012
5,"September 27, 2012","Minneapolis, Minnesota",7,2,9,"Accent Signage Systems shooting: A former employee entered a local sign-making business, and killed five and wounded four; two of the four later died of their wounds, the perpetrator committed suicide.[190]", Minnesota,2012
6,"August 24, 2012","New York City, New York",2,9,11,2012 Empire State Building shooting: A man shot and killed a former co-worker before engaging in a shoot-out with the New York police in which nine bystanders were wounded and the perpetrator was killed.[191], New York,2012
7,"August 13, 2012","College Station, Texas",3,4,7,"2012 College Station shooting: The perpetrator fatally shot an officer attempting to serve him a notice to appear in court, he then injured a neighbor and engaged in a shootout with responding officers until he was killed by the officers.[192]", Texas,2012
8,"August 5, 2012","Oak Creek, Wisconsin",7,4,11,"Wisconsin Sikh temple shooting: The perpetrator, a member of the Hammerskins and various white power and neo-Nazi bands, fatally shot six people at a Sikh temple before being killed by responding police officers.", Wisconsin,2012
9,"July 20, 2012","Aurora, Colorado",12,70,82,"Aurora, Colorado, movie theater shooting: A shooter, 24-year-old James Eagan Holmes, stormed a late-night premiere of The Dark Knight Rises and shot and killed twelve people and wounded seventy others. He was sentenced to life in prison without the possibility of parole.", Colorado,2012
10,"May 30, 2012","Seattle, Washington",6,1,7,"Seattle cafe shooting spree: A patron who had been previously thrown out of the cafe, entered and killed four people and wounded one, shortly after he killed a woman during a carjacking and then committed suicide.[193]", Washington,2012
11,"May 2, 2012","Gilbert, Arizona",5,0,5,"Gilbert home shooting: A neo-Nazi shot and killed his girlfriend, her daughter, the daughter's boyfriend, and their infant daughter, before killing himself.", Arizona,2012
12,"April 13, 2012","Brooklyn, Ohio",4,0,4,A man shot his wife and 2 daughters at a Cracker Barrel before being killed by police.[194], Ohio,2012
13,"April 2, 2012","Oakland, California",7,3,10,"2012 Oikos University shooting: A former student opened fire in a classroom and fatally shot seven people, leaving three wounded.", California,2012
14,"February 27, 2012","Chardon, Ohio",3,3,6,"2012 Chardon High School shooting: A seventeen-year-old entered Chardon High School and fired at students sitting in the cafeteria, killing three and wounding three others before being arrested.", Ohio,2012
0,"November 1, 2013","Los Angeles, California",1,4[n 1],5,"2013 Los Angeles International Airport shooting: A man entered the Los Angeles International Airport, killed a TSA agent, and wounded three other people. He was injured when shot several times by police.[177]", California,2013
1,"September 16, 2013",Washington D.C.,13,8,21,Washington Navy Yard shooting: A gunman entered the Naval Sea Systems Command headquarters in the Washington Navy Yard with a civilian contractor pass. He killed twelve people and injured eight before being killed by police.[178],Washington D.C.,2013
2,"August 5, 2013","Saylorsburg, Pennsylvania",3,4[n 1],7,"Ross Township Municipal Building shooting: A man entered a meeting of township supervisors and killed three people, injuring three others. The gunman was also injured when his gun went off and hit his own leg as two men wrestled him to the ground and took away his weapon. The shooting was suspected to be motivated by a longstanding feud in which the gunman's property rights had been taken away. He was sentenced to life in prison.[179][180]", Pennsylvania,2013
3,"July 26, 2013","Hialeah, Florida",7,0,7,2013 Hialeah shooting: A man lit his apartment on fire and killed six other people in his apartment building before being killed by a SWAT team.[181], Florida,2013
4,"June 7, 2013","Santa Monica, California",6,4,10,2013 Santa Monica Shootings: A man killed his family and burned down his house before committing a mass shooting at Santa Monica College. He was later killed in a shootout with police.[182], California,2013
5,"March 13, 2013","Mohawk and Herkimer, New York",5,2,7,"Herkimer County shootings: A man set fire to his apartment, shot and killed two people and injured two others at a barbershop, and shot and killed two people at a car wash. The shooter was cornered in an abandoned bar by police, leading to an overnight standoff. A police dog was sent into the building the next morning: when the man shot and killed the dog, the police returned fire, killing the man.[183][184]", New York,2013
6,"January 19, 2013","South Valley, New Mexico",5,0,5,2013 South Valley homicides: A fifteen-year-old murdered his parents and three siblings in their home. He was arrested by police.[185], New Mexico,2013
0,"December 15, 2014","Montgomery County, Pennsylvania",7,1,8,"2014 Montgomery County shootings: Six people were found dead and one wounded in three locations across Montgomery County. The shooter was found dead the next day after committing suicide by overdose. One of the victims was the shooter's ex-wife, the others were her relatives.[171]", Pennsylvania,2014
1,"October 24, 2014","Marysville, Washington",5,1,6,2014 Marysville Pilchuck High School shooting: A fifteen-year-old killed four people and injured one other in the cafeteria of Marysville Pilchuck High School before killing himself.[172], Washington,2014
2,"July 9, 2014","Spring, Texas",6,1,7,2014 Harris County shooting: A man killed six of his family members and wounding a seventh. He was arrested after a brief chase and a standoff that lasted several hours.[173], Texas,2014
3,"May 23, 2014","Isla Vista, California",7,14[n 19],21,"2014 Isla Vista killings: Several hours after stabbing and killing his three roommates, Elliot Rodger drove to a sorority house near the University of California, Santa Barbara and knocked on the door. After receiving no answer, he began shooting at people nearby, killing two members of another sorority and injuring a third. He then returned to his car and continued to shoot at random people from within his vehicle before killing himself with a gunshot.[174] The attack is believed to have been motivated by the killer's hatred of women and frustration with his dating and family life.[175]", California,2014
4,"April 2, 2014","Fort Hood, Texas",4,14,18,"2014 Fort Hood shootings: After being denied leave from the Fort Hood military base where he was stationed, a man killed three people and injured fourteen before killing himself.[176]", Texas,2014
0,"December 2, 2015","San Bernardino, California",16,22,38,"2015 San Bernardino attack: A married couple opened fire on the husband's colleagues at a work training event. They killed fourteen people and injured twenty-two before being killed in a shootout with police. Pipe bombs set at their residence failed to detonate. The two perpetrators are believed to have been radicalized, though not believed to have been directly connected to a specific foreign terrorist organization.[156]", California,2015
1,"November 27, 2015","Colorado Springs, Colorado",3,9,12,Colorado Springs Planned Parenthood shooting: A man killed two civilians and a police officer and wounded nine others inside a Planned Parenthood clinic before surrendering to police. The shootings are suspected to have been motivated by the suspect's anti-abortion views.[157], Colorado,2015
2,"November 23, 2015","Minneapolis, Minnesota",0,5,5,"Shooting of protesters at a Black Lives Matter protest: During a Black Lives Matter protest related to the shooting of Jamar Clark, a man opened fire and injured five protestors. The perpetrator was later arrested.[158]", Minnesota,2015
3,"October 31, 2015","Colorado Springs, Colorado",4,0,4,"October 2015 Colorado Springs shooting. Noah Harpham killed three. Harpham was open carrying with his rifle for some time, before randomly opening fire on random people on the street[159]", Colorado,2015
4,"October 9, 2015","Flagstaff, Arizona",1,3,4,"2015 Northern Arizona University shooting: A freshman at Northern Arizona University shot four students, killing one.[160]", Arizona,2015
5,"October 1, 2015","Roseburg, Oregon",10,8,18,"2015 Umpqua Community College shooting: A student at Umpqua Community College killed nine people and injured eight others on the college campus. After being wounded by police officers, he killed himself.[161]", Oregon,2015
6,"August 26, 2015","Moneta, Virginia",3,1,4,"Murders of Alison Parker and Adam Ward: An enraged former employee for WDBJ (Bryce Williams) carried out a preplanned shooting targeting 3 reporters, conducting a live TV interview near Smith Mountain Lake. Alison Parker was fatally shot, and the cameraman Adam Ward was also killed. Vicki Gardner was also shot, but survived. He fled the scene in his car then took off on foot while a massive manhunt was underway. Before police could approach Williams, he committed suicide by shooting himself. He stated that the motive was the Charleston church shooting and possible discrimination at his workplace.[162]", Virginia,2015
7,"August 8, 2015","Harris County, Texas",8,0,8,"2015 Harris County shooting: A man broke into his ex-girlfriend's home and held her hostage along with her husband and six children, one of whom was his son. Over the course of nine hours, he killed everyone in the home. After a shootout with police, he surrendered and was taken into custody.[163]", Texas,2015
8,"July 23, 2015","Lafayette, Louisiana",3,9,12,"2015 Lafayette shooting: A gunman killed two people and injured nine in a shooting at a movie theater. After trying to blend into the crowd leaving the theater, the gunman heard sirens, returned to the theater, and killed himself.[164]", Louisiana,2015
9,"July 16, 2015","Chattanooga, Tennessee",6,2,8,"2015 Chattanooga shootings: A man committed a drive-by shooting at a military recruitment center in a strip mall, wounding one Marine. With police in pursuit, he drove to a U.S. Navy Reserve center and rammed his vehicle through a gate. He fatally wounded a Navy sailor, killed four Marines, and wounded a police officer before being killed by a naval commander.[165] The FBI later determined the gunman had been motivated by propaganda published by terrorist organizations.[166]", Tennessee,2015
10,"June 17, 2015","Charleston, South Carolina",9,1,10,"Charleston church shooting: white supremacist Dylann Roof killed nine black people during a prayer service at the Emanuel African Methodist Episcopal Church, wounding one other. He was taken into custody by police, and later said that he committed the shootings in an attempt to start a ""race war"".[167][168]", South Carolina,2015
11,"May 17, 2015","Waco, Texas",9,18,27,"2015 Waco shootout: Gunfire broke out at a restaurant where members of several motorcycle clubs had gathered to discuss political rights for motorcyclists. Members of the clubs and police were both involved in the gunfire. Nine people were killed and eighteen were injured in the shootout, all members of the motorcycle clubs. The shooting may have resulted from a territorial dispute between two of the motorcycle clubs.[169]", Texas,2015
12,"February 26, 2015","Tyrone, Missouri",8,1,9,2015 Tyrone shooting: A man killed seven people and wounded one after going door-to-door and shooting people in four separate homes. Four of the people he killed were family members. The man then killed himself. The shooting was possibly motivated by the man finding his mother dead from natural causes.[170], Missouri,2015
0,"September 28, 2016","Townville, South Carolina",2,3,5,2016 Townville Elementary School shooting: A fourteen-year-old shot and killed his father before driving to the local elementary school and injuring three students and a teacher. One student later died of his injuries. The shooter was later arrested.[144], South Carolina,2016
1,"September 23, 2016","Burlington, Washington",5,0,5,Cascade Mall shooting: A man killed five people at the Cascade Mall. He was arrested a day later. The shooter later killed himself while in jail.[145], Washington,2016
2,"August 20, 2016","Citronelle, Alabama",6,0,6,2016 Citronelle homicides: A man killed six people (including an unborn child) while they were sleeping in a home. He was arrested by police.[146], Alabama,2016
3,"July 30, 2016","Mukilteo, Washington",3,1,4,2016 Mukilteo shooting: A student at the University of Washington killed three people and injured one other in a shooting at a party. One of the people he killed was his ex-girlfriend. The shooter was arrested and sentenced to life in prison.[147], Washington,2016
4,"July 17, 2016","Baton Rouge, Louisiana",5,2,7,"2016 shooting of Baton Rouge police officers: A gunman killed four law enforcement officers, one of whom died in 2022, and injured three others. The gunman was killed by a member of the SWAT team that responded to the shooting. The shooting is believed to have been related to the unrest in Baton Rouge following the shooting of Alton Sterling, and the gunman was involved with black separatist and sovereign citizen organizations.[148][149]", Louisiana,2016
5,"July 11, 2016","St. Joseph, Michigan",3,2,5,St. Joseph courthouse shooting: A handcuffed inmate killed two bailiffs and injured a deputy and another woman after taking a deputy's gun in a courthouse. The inmate was killed by two other bailiffs.[150], Michigan,2016
6,"July 7, 2016","Dallas, Texas",6,11,17,2016 shooting of Dallas police officers: A shooter killed five police officers and wounded nine other officers and two civilians at a protest over the police shootings of Alton Sterling and Philando Castile. The shooter was killed by a bomb delivered by a remote control vehicle. He is believed to have been motivated by retribution for black men killed by police.[151], Texas,2016
7,"June 12, 2016","Orlando, Florida",50,58,108,"Pulse nightclub shooting: A gunman, Omar Mateen, killed 49 people and wounded 53 others in a shooting at Pulse, a gay nightclub. The gunman was killed in a shootout with the police.[152]", Florida,2016
8,"March 9, 2016","Wilkinsburg, Pennsylvania",6,3,9,"2016 Wilkinsburg shooting: Six people (including an unborn child) were killed and three were injured by two gunmen in an attack during a backyard party. One person with a handgun drove the partygoers toward a backyard porch, where the second shot at them with an assault-style rifle.[153]", Pennsylvania,2016
9,"March 7–8, 2016","Kansas City, Kansas, and Montgomery County, Missouri",5,0,5,2016 Kansas–Missouri murder spree: Four people were killed at a home and another was shot and killed the following day. The perpetrator was arrested the next day., Missouri,2016
10,"February 25, 2016","Hesston and Newton, Kansas",4,14,18,Hesston shootings: A man killed three people and injured fourteen others in an attack at his workplace. He had been served with a temporary order of protection shortly before he began shooting. He was killed by police who responded to the scene.[154], Kansas,2016
11,"February 20, 2016","Kalamazoo, Michigan",6,2,8,2016 Kalamazoo shootings: An Uber driver killed six people and wounded two others in a series of shootings targeting random people.[155], Michigan,2016
0,"December 31, 2017","Highlands Ranch, Colorado",2,6,8,"Copper Canyon Apartment Homes shooting: After being called to a home for a report of a disturbance, five police officers were shot in an ""ambush-style"" attack. One officer was killed and the other four were wounded. Two other people were also wounded in a neighboring apartment. Officers later re-entered the apartment with a SWAT team and killed the suspect; another officer was injured in this exchange.[123]", Colorado,2017
1,"November 5, 2017","Sutherland Springs, Texas",27,22,49,"Sutherland Springs church shooting: A gunman approached the First Baptist Church in Sutherland Springs and killed two people outside before entering and shooting at the congregation, killing 26 people (including an unborn child) and injuring 22. He was confronted by a local man with a gun, and they exchanged gunfire before entering a vehicle. The man flagged down another person and they began a high-speed chase of the gunman, which ended when the gunman went off the road and was found dead from a self-inflicted gunshot wound.[124][125][126]", Texas,2017
2,"October 1, 2017","Paradise, Nevada",61,411,472,"2017 Las Vegas shooting: A man on the 32nd floor of a hotel opened fire on a country music festival happening outside, killing 60 people and injuring 867 others, with 411 of them suffering from gunshot wounds. The man then killed himself.[127][128][129][130][131]", Nevada,2017
3,"September 24, 2017","Antioch, Tennessee",1,8[n 1],9,"Burnette Chapel shooting: A man killed a woman outside the Burnette Chapel Church of Christ before entering the chapel and wounding seven others. During a struggle with an usher, the man shot himself in the chest. The usher ran to his car to get his own pistol and held the man at gunpoint until police arrived to arrest him.[132]", Tennessee,2017
4,"September 10, 2017","Plano, Texas",9,1,10,"2017 Plano shooting: A man entered his ex-wife's home while she was hosting a football-watching party and killed her and seven others, and wounded one other. He was killed by police.[133]", Texas,2017
5,"August 28, 2017","Clovis, New Mexico",2,4,6,Clovis library shooting: A sixteen-year-old killed two people and wounded four others at a public library before surrendering to police.[134], New Mexico,2017
6,"July 1, 2017","Little Rock, Arkansas",0,28,28,Little Rock nightclub shooting: Twenty-eight people were injured (twenty-five directly by gunfire) when shooting broke out in a nightclub where rapper Finese 2Tymes was performing.[135], Arkansas,2017
7,"June 30, 2017","New York City, New York",2,6,8,Bronx-Lebanon Hospital attack: A former hospital employee killed a doctor and wounded six others before he committed suicide., New York,2017
8,"June 14, 2017","San Francisco, California",4,5,9,"San Francisco UPS shooting: A gunman entered his workplace and singled out coworkers, killing three and wounding five, before committing suicide.[136]", California,2017
9,"June 14, 2017","Alexandria, Virginia",1,6,7,"Congressional baseball shooting: A gunman shot and wounded four people, including Republican Congressman and House Majority Whip Steve Scalise, while they were practicing for the Congressional Baseball Game. Two others were also injured in other ways. The gunman was killed after being engaged by Capitol police officers assigned to protect Scalise and by police officers responding to the scene.[137]", Virginia,2017
10,"June 8, 2017","Eaton Township, Pennsylvania",4,0,4,Eaton Township Weis Markets shooting: An employee of a Weis Markets supermarket who was working a night shift barricaded the exits and killed three coworkers before killing himself.[138], Pennsylvania,2017
11,"June 6, 2017","Sandy, Utah",3,2,5,"Sandy, Utah attack: A man rammed a vehicle containing his ex-girlfriend, three children and one other adult, opened fire, killing two and wounding two, then committed suicide.[139]", Utah,2017
12,"June 5, 2017","Orlando, Florida",6,0,6,Orlando factory shooting: A former employee entered the factory through a rear exit and killed five employees and then himself.[140], Florida,2017
13,"May 27, 2017","Lincoln County, Mississippi",8,1[n 1],9,"2017 Mississippi shootings: A man killed eight people, including several family members and a sheriff's deputy, at three separate houses. He was injured by police and then arrested. The shooter later said he had intended to commit suicide by cop.[141]", Mississippi,2017
14,"May 12, 2017","Kirkersville, Ohio",4,0,4,"Kirkersville shooting: After taking two people hostage, a man shot and killed a police officer and two nurses at a nursing home before he killed himself.", Ohio,2017
15,"March 26, 2017","Cincinnati, Ohio",2,16,18,Cincinnati nightclub shooting: Two men were killed and sixteen people were wounded after a fight escalated into a shooting at a crowded nightclub. One person was arrested.[142], Ohio,2017
16,"January 6, 2017","Broward County, Florida",5,6,11,"Fort Lauderdale airport shooting: A man killed five people and injured six in a shooting at Fort Lauderdale–Hollywood International Airport before running out of ammunition and lying on the ground to surrender to police. Thirty to forty other people were also hurt, with injuries not directly caused by gunfire.[143]", Florida,2017
0,"November 11, 2018","Globe, Arizona",3,1,4,"Globe, Arizona shooting: A gunman shot four people outside a bar, three fatally, before fleeing the scene. He was later taken into custody.[98]", Arizona,2018
1,"November 11, 2018","Robbins, Illinois",1,4[n 1],5,"Shooting of Jemel Roberson: A man re-entered a bar after being ejected and began to fire, wounding three people and becoming injured himself. Armed security guards apprehended the suspect. Responding officers saw one of the security guards with a gun, and shot and killed him.[99]", Illinois,2018
2,"November 7, 2018","Thousand Oaks, California",13,16,29,"Thousand Oaks shooting: A man entered a bar hosting a student line-dancing event and killed 12 people, including a police officer. 16 other people were injured, one of them by gunfire. The gunman then killed himself.[100][101]", California,2018
3,"November 2, 2018","Tallahassee, Florida",3,5[n 6],8,"2018 Tallahassee shooting: A man entered a yoga studio and killed two women and injured five others; four by gunshots and one by pistol-whipping, before committing suicide.[102]", Florida,2018
4,"October 27, 2018","Pittsburgh, Pennsylvania",11,7[n 1],18,"Pittsburgh synagogue shooting: A man opened fire in the Tree of Life synagogue in an antisemitic attack, killing 11 people and injuring six others (including four police officers). The suspect, 46-year-old Robert G. Bowers, was taken into custody by police.[103][104]", Pennsylvania,2018
5,"October 3, 2018","Florence, South Carolina",2,10,12,"Florence shooting: Officers were shot at during a two-hour standoff while attempting to execute a search warrant. The perpetrator held children hostage, killing one and wounding seven before being arrested.[105]", South Carolina,2018
6,"September 20, 2018","Aberdeen, Maryland",4,3,7,Aberdeen shooting: An employee of the Rite Aid Distribution facility killed three victims before wounding herself. The shooter died later in the hospital.[106], Maryland,2018
7,"September 6, 2018","Cincinnati, Ohio",4,2,6,"2018 Cincinnati shooting: A gunman entered a loading dock at the Fifth Third Center skyscraper and opened fire before entering the lobby of a building. Four people, including the shooter, were killed and two were injured.[107]", Ohio,2018
8,"August 26, 2018","Jacksonville, Florida",3,11,14,"Jacksonville Landing shooting: A gunman killed two people and wounded eleven more (nine with gunshot wounds) at a Madden NFL 19 competition before killing himself. The shooter was identified as David Katz, an individual who had reportedly been eliminated from the competition before the shooting.[108][109][110]", Florida,2018
9,"June 28, 2018","Annapolis, Maryland",5,2,7,Capital Gazette shooting: A gunman entered the offices of The Capital Gazette and killed five employees and wounded two others.[111][112], Maryland,2018
10,"June 17, 2018","Trenton, New Jersey",1,22[n 2][n 14],23,Art All Night shooting: Several gunmen wounded 17 people at the Art All Night festival. Five others were wounded when they were trampled by people around them. One of the suspected gunmen was shot and killed by police. Police suspect the shooting was gang-related.[113], New Jersey,2018
11,"May 30–June 4, 2018","Scottsdale, Arizona",7,0,7,"2018 Scottsdale shootings: Over the course of several days, a man killed a forensic psychiatrist, two paralegals, a counselor, and a couple from whom he took a handgun. The suspect killed himself when police began closing in on him.[114][115]", Arizona,2018
