,Date,Location,Dead,Injured,Total,Description,State,Year
12,"May 18, 2018","Santa Fe, Texas",10,14[n 1],24,"2018 Santa Fe High School shooting: A student at Santa Fe High School shot and killed 10 people and wounded 14 others. Explosive devices were also found, but they were not detonated. The suspect was taken into custody by police.[116]", Texas,2018
13,"April 22, 2018","Nashville, Tennessee",4,2,6,"Nashville Waffle House shooting: A gunman entered a Waffle House, where he killed four people and injured two others. He was later taken into custody.[117]", Tennessee,2018
14,"April 3, 2018","San Bruno, California",1,4[n 15],5,"YouTube headquarters shooting: A woman approached an outdoor patio at YouTube Headquarters and wounded three people before committing suicide, a fourth person was injured in the evacuation.[118]", California,2018
15,"March 9, 2018","Yountville, California",5,0,5,"Yountville shooting: A man entered the Veterans Home of California and held three staff members hostage. He killed the three staff members (and the unborn child of one of the staff members, who was pregnant) before killing himself in a murder–suicide.[119]", California,2018
16,"February 14, 2018","Parkland, Florida",17,17,34,"Parkland High School shooting: A former student of Marjory Stoneman Douglas High School entered the school, 19-year-old Nikolas Cruz, killed 17 people, and wounded 17 others. He was taken into custody by police. On October 13, 2022, he was sentenced to life in prison without the possibility of parole.[120][121]", Florida,2018
17,"January 23, 2018","Benton, Kentucky",2,16,18,2018 Marshall County High School shooting: A fifteen-year-old student killed two other students and injured sixteen others before discarding his weapon and attempting to hide among other students. He was apprehended by police.[122], Kentucky,2018
0,"December 10, 2019","Jersey City, New Jersey",6,3,9,"2019 Jersey City shooting: An officer approached a vehicle suspected of being used in a murder previously, he was shot and killed. In the resulting suspect chase and police confrontation the two suspects were killed, along with three other civilians, a civilian and two cops were wounded as well. The attack in question was committed by a Black Hebrew Israelite and targeted Jews living in Jersey City.", New Jersey,2019
1,"December 6, 2019","Pensacola, Florida",4,8,12,Naval Air Station Pensacola shooting: Three people were killed and 8 others were injured at a US Navy base. The suspect was killed by police., Florida,2019
2,"December 5, 2019","Miramar, Florida",4,1,5,"2019 Miramar shootout: Two suspects robbed a jewelry store which resulted in a police shootout that killed 2 people,[90] including a UPS truck driver who was on his 1st day on the job. Both suspects were killed by police.", Florida,2019
3,"November 17, 2019","Fresno, California",4,6,10,"2019 Fresno shooting: Ten people were shot, four fatally, at a football watch party.", California,2019
4,"November 14, 2019","Santa Clarita, California",3,3,6,2019 Saugus High School shooting: Two people were killed and three others were injured. The gunman then eventually committed suicide., California,2019
5,"October 31, 2019","Orinda, California",5,4,9,"Orinda shooting: An overnight block party attended by over 100 people ended with five people killed, and four more wounded by gunfire.", California,2019
6,"October 14, 2019","San Juan, Puerto Rico",6,0,6,2019 Río Piedras shooting: Six people were killed after a shootout near an apartment complex., Puerto Rico,2019
7,"August 4, 2019","Dayton, Ohio",10,27[n 12],37,"2019 Dayton shooting: A gunman shot 26 people, killing 9, including his transgender sibling, and wounding 17 others outside of a bar. Ten others were wounded as they fled the scene. The perpetrator was killed by police after the first shots were fired in 32 seconds.", Ohio,2019
8,"August 3, 2019","El Paso, Texas",23,22,45,"2019 El Paso shooting: A gunman shot 45 people, killing 23 and wounding 22 others at a Walmart Supercenter near the Cielo Vista Mall. The attack was a hate crime targeting Hispanic immigration and was influenced by the Christchurch mosque shootings. The perpetrator was arrested by police.", Texas,2019
9,"July 28, 2019","Gilroy, California",4,15,19,"Gilroy Garlic Festival shooting: A gunman killed three people, including a 6-year-old boy, attending Gilroy's annual Garlic Festival; 12 more people were injured. The shooter killed himself.", California,2019
10,"May 31, 2019","Virginia Beach, Virginia",13,4,17,2019 Virginia Beach shooting: A gunman killed 12 people and injured four others at a municipal building. The gunman was killed by police.[91], Virginia,2019
11,"May 7, 2019","Highlands Ranch, Colorado",1,8,9,"2019 STEM School Highlands Ranch shooting: A school shooting was reported at STEM School Highlands Ranch, around 1:50 p.m, two shooters targeted separate locations and killed one student and injured eight more before being arrested.[92]", Colorado,2019
12,"April 30, 2019","Charlotte, North Carolina",2,4,6,"2019 University of North Carolina at Charlotte shooting: Six people were shot, two fatally, on the last day of classes at the University of North Carolina at Charlotte. The student gunman was taken into custody after he ran out of ammunition.[93]", North Carolina,2019
13,"April 27, 2019","Poway, California",1,3,4,Poway synagogue shooting: One person was killed and at least three were wounded by a shooter at the Chabad of Poway synagogue.[94] The gunman was influenced by the Christchurch mosque shootings in New Zealand and claimed responsibility for the Escondido mosque fire the month prior, California,2019
14,"February 15, 2019","Aurora, Illinois",6,6,12,"Aurora, Illinois shooting: A 45-year-old man opened fire at a Henry Pratt Company plant and killed five people and injured six others. He was a former worker at the plant and he was killed in a shootout with police.", Illinois,2019
15,"January 28, 2019","Houston, Texas",2,5,7,Harding Street raid: Two homeowners were killed and five Houston Police Department officers wounded in a shootout during a no-knock raid.[95], Texas,2019
16,"January 26, 2019","Ascension and Livingston Parish, Louisiana",5,0,5,"January 2019 Louisiana shootings: A 21-year-old man killed five people, including his parents, in two parishes in Louisiana.[96]", Louisiana,2019
17,"January 23, 2019","Sebring, Florida",5,0,5,2019 Sebring shooting: Five people were killed in a hostage incident and shooting at a bank. The suspect was taken into custody by police.[97], Florida,2019
0,"December 8, 2020","Williamsburg, West Virginia",6,0,6,2020 Williamsburg massacre: A mother killed her five children with a shotgun before killing herself., West Virginia,2020
1,"November 20, 2020","Wauwatosa, Wisconsin",0,8,8,Mayfair Mall shooting: Eight people were hospitalized with non-life-threatening injuries after a person opened fire at the Mayfair Mall., Wisconsin,2020
2,"November 3, 2020","Henderson, Nevada",4,1,5,Henderson shooting: Three people were killed and one person was injured when a gunman opened fire at an apartment complex. The gunman was killed by police., Nevada,2020
3,"September 19, 2020","Rochester, New York",2,14,16,Rochester shooting: Two people were killed and fourteen others injured after a shooting at a party in Rochester., New York,2020
4,"March 15, 2020","Springfield, Missouri",5,2,7,"2020 Springfield, Missouri shooting: A man committed a series of random drive-by shootings before crashing his vehicle at a gas station. He entered the business, where he killed four people and wounded two others before committing suicide.[89]", Missouri,2020
5,"February 26, 2020","Milwaukee, Wisconsin",6,0,6,"Milwaukee brewery shooting: Five people were killed when a gunman opened fire at the local Molson Coors Beverage Company campus, where he had been employed. Afterwards, the gunman committed suicide.", Wisconsin,2020
6,"January 17, 2020","Grantsville, Utah",4,1,5,Haynie family murders: Four members of a family were killed and one was injured after a teenager fired at his family as they returned home., Utah,2020
0,"December 27, 2021","Denver/Lakewood, Colorado",6,2,8,"2021 Denver and Lakewood shootings: A gunman traveled to multiple businesses and homes, where he killed five people and wounded two others before being shot dead by police.[80]", Colorado,2021
1,"November 30, 2021","Oxford, Michigan",4,7,11,"2021 Oxford High School shooting: A shooter, a student at the school, opened fire on students, killing three and wounding seven students and a teacher before being arrested. One of the injured died afterwards.[81]", Michigan,2021
2,"September 23, 2021","Collierville, Tennessee",2,14,16,"Collierville Kroger shooting: A shooter opened fire in a Kroger, killing one and injuring 14, before taking his own life.[82]", Tennessee,2021
3,"May 30, 2021","Hialeah, Florida",3,20,23,"2021 Hialeah shooting: Three shooters stepped out of a SUV, and opened fire at concert goers, killing three and wounding 20 others.[83]", Florida,2021
4,"May 26, 2021","San Jose, California",10,0,10,"2021 San Jose shooting: Nine people were killed at a Santa Clara Valley Transportation Authority (VTA) rail yard in San Jose, California. after police arrived, The gunman committed suicide.[84][85]", California,2021
5,"April 15, 2021","Indianapolis, Indiana",9,7,16,Indianapolis FedEx shooting: Nine people were killed and seven others were wounded after a mass shooting at a FedEx facility. The shooter took his own life., Indiana,2021
6,"March 31, 2021","Orange, California",4,2[n 1],6,"2021 Orange, California office shooting: Four people, including a child, were killed at an Orange office complex.", California,2021
7,"March 22, 2021","Boulder, Colorado",10,2[n 1],12,"2021 Boulder shooting: A mass shooting occurred at a King Soopers supermarket in Boulder, Colorado, which left 10 people dead, including an on-duty police officer.", Colorado,2021
8,"March 16, 2021","Atlanta and Cherokee County, Georgia",8,1,9,"2021 Atlanta spa shootings: A series of mass shootings occurred at massage parlors in the Atlanta, Georgia metropolitan area. Eight people were killed in the incidents and one person was wounded.", Georgia,2021
9,"February 9, 2021","Buffalo, Minnesota",1,4,5,"Buffalo, Minnesota clinic attack: A nurse was killed and four other people were shot and seriously wounded inside of a health care clinic. The suspect, 67-year-old Gregory Paul Ulrich, was taken into police custody.[86][87]", Minnesota,2021
10,"February 2, 2021","Muskogee, Oklahoma",6,1,7,"2021 Muskogee shooting: Five children and one adult were shot and killed, and one other adult suffered life-threatening injuries, after a home shooting in Oklahoma. Suspect, 25-year-old Jarron Pridgeon, is currently under custody.[88]", Oklahoma,2021
11,"February 2, 2021","Sunrise, Florida",3,3,6,"2021 Sunrise, Florida shootout: Two FBI agents were shot and killed and three others wounded attempting to serve a warrant. The suspect barricaded himself in his home and opened fire before shooting and killing himself.", Florida,2021
12,"January 9, 2021","Chicago and Evanston, Illinois",6,2,8,"2021 Chicago–Evanston shootings: 32-year-old Jason Nightengale shot 8 people at random, killing 5, before being fatally shot by police.", Illinois,2021
0,"November 22, 2022","Chesapeake, Virginia",7,4,11,"2022 Chesapeake shooting: Six people were killed, and four others were injured, when a night-shift manager opened fire at a Walmart. The gunman then committed suicide.[61]", Virginia,2022
1,"November 19–20, 2022","Colorado Springs, Colorado",5,26[n 1][n 5],31,"Colorado Springs nightclub shooting: A gunman killed five after entering a local gay bar. 26 others, including the gunman, were wounded during the attack, 19 of them by gunfire. A suspect was later taken into custody.", Colorado,2022
2,"November 13, 2022","Charlottesville, Virginia",3,2,5,"2022 University of Virginia shooting: A student at the University of Virginia opened fire on a bus returning from a trip to see a play. The three people killed as well as one of the wounded were members of the University of Virginia's football team, and the gunman was a member of the team for one season, though he did not play any games.", Virginia,2022
3,"October 24, 2022","St. Louis, Missouri",3,7[n 6],10,"2022 Central Visual and Performing Arts High School shooting: A shooter, a former student, opened fire, killing two people and wounding four others before being shot and killed by police.[62]", Missouri,2022
4,"October 13, 2022","Raleigh, North Carolina",5,2,7,"2022 Raleigh shootings: The shooter, a teenager, went on a shooting spree along the Neuse River Trail greenway and surrounding neighborhood.[63]", North Carolina,2022
5,"September 28, 2022","Oakland, California",1,5,6,2022 Oakland school shooting: Four staff members and two students were shot by multiple gunmen at a complex that houses multiple schools. The shooting may have been tied to gang violence.[64], California,2022
6,"August 28, 2022","Bend, Oregon",3,2,5,"2022 Bend, Oregon shooting: A local man shot four people, two fatally, in a Safeway supermarket at the Forum shopping center before committing suicide.", Oregon,2022
7,"July 17, 2022","Denver, Colorado",0,7,7,"2022 Denver police shooting: Three police officers fired on a fleeing suspect, wounding him and six bystanders. One officer was convicted of assault and sentenced to 18 months probation.[65]", Colorado,2022
8,"July 17, 2022","Greenwood, Indiana",4,2,6,Greenwood Park Mall shooting: A local man fatally shot three people and injured two others at the food court in the Greenwood Park Mall before being shot dead by an armed civilian., Indiana,2022
9,"July 4, 2022","Highland Park, Illinois",7,48,55,Highland Park parade shooting: Seven people were killed and 48 others injured after a man fired a rifle from a rooftop at spectators attending Highland Park's Fourth of July parade., Illinois,2022
10,"June 30, 2022","Allen, Kentucky",3,4,7,"2022 shooting of Kentucky police officers: A man fired out the window of his home, shooting seven people, six of whom were law enforcement officers. Two of the officers died at the scene, and a third died in the hospital the day after. The third officer was a canine handler, and his dog also died. The suspect later killed himself in jail.", Kentucky,2022
11,"June 5, 2022","Chattanooga, Tennessee",3,14[n 8],17,"2022 Chattanooga shooting: Twelve people were shot, two of them fatally, at a nightclub during the early morning. A third person was killed by a vehicle attempting to flee.[66]", Tennessee,2022
12,"June 4, 2022","Philadelphia, Pennsylvania",3,11[n 2],14,"2022 Philadelphia shooting: Fourteen people were shot, three of them fatally, by multiple shooters on South Street. One of the shooters may have been shot by a responding police officer.[67]", Pennsylvania,2022
13,"June 2, 2022","Centerville, Texas/Jourdanton, Texas",6,0,6,"Centerville shooting: An escaped prisoner went inside a home and opened fire, killing five members of a family before being shot and killed by police.[68]", Texas,2022
14,"June 1, 2022","Tulsa, Oklahoma",5,0,5,2022 Tulsa hospital shooting: Four people were killed following a mass shooting at a Saint Francis medical building. The gunman committed suicide.[69], Oklahoma,2022
15,"May 24, 2022","Uvalde, Texas",22,18,40,Uvalde school shooting: A local man shot and wounded his grandmother before driving to his former elementary school and opening fire. He killed nineteen children and two adults before being shot dead by police. Eighteen other people were hospitalized.[70], Texas,2022
16,"May 19, 2022","Chicago, Illinois",2,8,10,"Magnificent Mile shooting: Two people were fatally shot, and eight others were critically injured, in a shooting near a McDonald's restaurant in Chicago, Illinois.[71]", Illinois,2022
17,"May 15, 2022","Laguna Woods, California",1,5,6,"2022 Laguna Woods shooting: One person was fatally shot and five others were injured in a shooting at a church in Orange County, California.[72]", California,2022
18,"May 14, 2022","Buffalo, New York",10,3,13,"2022 Buffalo shooting: The shooter, 18-year-old Payton Gendron, who was clad in body armor and a white supremacist, opened fire at a Tops supermarket, killing ten people, all of whom were Black, including a security guard, and wounded three others.[73] On February 15, 2023, he was sentenced to life in prison without the possibility of parole. The gunman specifically targeted African-Americans and was influenced by similar terrorist incidents in Charleston, Pittsburgh, Christchurch, Poway and El Paso.", New York,2022
19,"April 17, 2022","Pittsburgh, Pennsylvania",2,13[n 10],15,2022 Pittsburgh shooting: An early morning shooting at a party held at an Airbnb rental property in the East Allegheny neighborhood killed two juveniles and wounded eight others. Five people sustained injuries such as broken bones and cuts when they jumped out of windows to escape the gunfire.[74], Pennsylvania,2022
20,"April 12, 2022","New York City, New York",0,29[n 11],29,"2022 New York City Subway attack: Ten people were shot when a gunman opened fire on a New York City Subway train as it approached the 36th Street station in the Sunset Park neighborhood. Immediately before the attack, the assailant donned a gas mask and threw smoke bombs. The incident caused 19 others to be injured as they fled. The attacker fled the scene and was arrested after police received a tip-off after a 30-hour manhunt. He was identified as 62-year-old Frank James.[75][76]", New York,2022
21,"April 3, 2022","Sacramento, California",6,12[n 2],18,2022 Sacramento shooting: A shooting in downtown Sacramento killed six people and injured twelve others.[77] A suspect was arrested the next day.[78], California,2022
22,"February 19, 2022","Portland, Oregon",1,5[n 1],6,"Normandale Park shooting: During a racial justice protest, a man confronted a group of protestors and engaged in an argument with them, before pulling out a gun and opening fire, killing one and wounding four others. One of the people in the group returned fire and wounded the perpetrator.[79]", Oregon,2022
0,"December 6, 2023","Paradise, Nevada",4,3,7,"2023 University of Nevada, Las Vegas shooting: A gunman opened fire at the UNLV campus, killing three people and injuring one person before being killed in a shootout with police.", Nevada,2023
1,"December 5, 2023","Austin, Texas/Bexar County, Texas",6,3,9,2023 Austin shootings: A suspect killed four people and injured three others in a shooting in Austin. Another shooting in Bexar County that killed two was also connected to the suspect., Texas,2023
2,"October 29, 2023","Tampa, Florida",2,16,18,2023 Ybor City shooting: Two people were killed and sixteen were injured in a street fight after a Halloween party in the Ybor City neighborhood.[30], Florida,2023
3,"October 29, 2023","Chicago, Illinois",0,15,15,2023 Chicago Halloween party shooting: Fifteen people were shot at a venue hosting a Halloween party., Illinois,2023
4,"October 25, 2023","Lewiston, Maine",19,13,32,"2023 Lewiston shootings: A shooter opened fire at a bowling alley and a local bar, killing 18 people and injuring 13 others. He was found dead from an apparent self-inflicted gunshot wound two days later.[31][32][33]", Maine,2023
5,"August 26, 2023","Jacksonville, Florida",4,0,4,"2023 Jacksonville shooting: A racist gunman armed with a rifle and handgun opened fire at a Dollar General, killing three people before committing suicide.[34]", Florida,2023
6,"August 23, 2023","Trabuco Canyon, California",4,6,10,"2023 Trabuco Canyon shooting: A former police officer shot and wounded his ex-wife before opening fire on random people at the Cook's Corner bar, killing three people and wounding six others. The gunman was killed by police.[35]", California,2023
7,"July 14, 2023","Fargo, North Dakota",2,3,5,"2023 shooting of Fargo police officers: A man shot at police officers responding to an unrelated traffic collision, killing one officer and wounding two more before an officer shot and killed him. In addition, a nearby woman was struck by gunfire.[36]", North Dakota,2023
8,"July 3, 2023","Philadelphia, Pennsylvania",5,2,7,"2023 Kingsessing shooting: Five people were killed and two others injured in the Kingsessing section of Southwest Philadelphia.[37][38] A 40-year-old suspect allegedly carrying an AR-15–style rifle, a handgun, and a scanner was arrested.[39]", Pennsylvania,2023
9,"July 2, 2023","Baltimore, Maryland",2,28,30,2023 Baltimore shooting: Two people were killed and 28 people were injured in South Baltimore., Maryland,2023
10,"June 15, 2023","Monroe Township, Ohio",3,1,4,2023 Doerman killings: Three boys were killed and their mother wounded in a domestic-related shooting. The father was charged with the killings.[40], Ohio,2023
11,"June 11, 2023","Annapolis, Maryland",3,3,6,"2023 Annapolis shooting: A man fired at neighbors following a dispute over a parking space, killing three people and wounding three others. A suspect was arrested.[41]", Maryland,2023
12,"June 6, 2023","Richmond, Virginia",2,5,7,"2023 Richmond shooting: Seven people were shot, two fatally, outside a downtown theater in Richmond, Virginia, where a high school graduation ceremony had just ended. Two suspects were arrested.", Virginia,2023
13,"May 15, 2023","Farmington, New Mexico",4,6,10,"2023 Farmington, New Mexico shooting: Three civilians were killed and at least six others, including two police officers, were injured after an 18-year-old man opened fire in the city of Farmington, New Mexico. The gunman was killed by police.[42]", New Mexico,2023
14,"May 6, 2023","Allen, Texas",9,7,16,"2023 Allen, Texas mall shooting: A man opened fire at the Allen Premium Outlets, killing eight people, and injuring at least seven others before being killed by police.[43]", Texas,2023
15,"May 3, 2023","Atlanta, Georgia",1,4,5,"2023 Atlanta shooting: A man opened fire inside a Northside Hospital facility in Midtown Atlanta, killing a 39-year-old woman, and injuring four others, before fleeing the scene. After eight hours of being on the run, the suspect was arrested by police without further incident.[44][45]", Georgia,2023
16,"May 1, 2023","Henryetta, Oklahoma",7,0,7,"2023 Henryetta killings: A sex offender killed six people, including four family members, before killing himself at his residence.[46]", Oklahoma,2023
17,"April 28, 2023","Cleveland, Texas",5,0,5,"2023 Cleveland, Texas shooting: A man armed with an AR-15-style rifle opened fire at a home, killing five people, including a child, before fleeing the scene. Three children were covered in blood, but were hospitalized.[47] The suspect, 38-year-old Francisco Oropeza, was captured after a 4-day-long manhunt.[48]", Texas,2023
18,"April 18, 2023","Bowdoin and Yarmouth, Maine",4,3,7,"2023 Bowdoin–Yarmouth shootings: Four people were killed at a home in Bowdoin, followed by a shooting on a highway in Yarmouth that wounded three family members in the same vehicle. The son of two of the victims in Bowdoin was charged with the shooting.", Maine,2023
19,"April 15, 2023","Dadeville, Alabama",4,32,36,"2023 Dadeville shooting: Gunmen opened fire at a birthday party, killing four people, and injuring 32 others. Six suspects were taken into custody.[49][50]", Alabama,2023
20,"April 10, 2023","Louisville, Kentucky",6,8,14,"2023 Louisville bank shooting: An employee opened fire at a bank, killing five people and injuring eight others, including a police officer that was critically wounded.[51] The perpetrator, 25-year-old Connor Sturgeon, was fatally shot by police.[52]", Kentucky,2023
21,"March 27, 2023","Nashville, Tennessee",7,1[n 4],8,"2023 Nashville school shooting: A former student opened fire at The Covenant School in the Green Hills neighborhood. Six people were killed, three of them children, and one police officer was injured by shattered glass. The perpetrator, 28-year-old Aiden Hale, was fatally shot by police.[53]", Tennessee,2023
22,"February 22, 2023","Pine Hills, Florida",3,2,5,Killing of Dylan Lyons: Three people were killed and two others wounded in a series of shootings. A 19-year-old suspect was arrested.[54], Florida,2023
23,"February 13, 2023","East Lansing, Michigan",4,5,9,2023 Michigan State University shooting: A mass shooting occurred at Michigan State University in East Lansing. Three people were killed and five others injured.[55] The shooter died of a self-inflicted gunshot wound after being cornered by police.[56], Michigan,2023
24,"January 23, 2023","Half Moon Bay, California",7,1,8,"2023 Half Moon Bay shootings: A man opened fire at two farms, killing seven people and injuring one other, before being taken into custody.[57]", California,2023
25,"January 21, 2023","Monterey Park, California",12,9,21,2023 Monterey Park shooting: Eleven people were killed and nine others injured after a gunman opened fire at a dance studio in Monterey Park after a Chinese New Year celebration in the city. The perpetrator shot and killed himself in a standoff with police the next day.[58], California,2023
26,"January 16, 2023","Goshen, California",6,0,6,"2023 Goshen shooting: A baby, a teenager, and four others were killed in a shooting at a home.[59]", California,2023
27,"January 4, 2023","Enoch, Utah",8,0,8,"2023 Enoch, Utah shooting: Five children and three adults were killed in a shooting at a home.[60]", Utah,2023
0,"September 7, 2024","Laurel County, Kentucky",0,5,5,Interstate 75 Kentucky shooting: Five people were shot and injured when a lone gunman shot civilians in passing by cars on the Interstate 75 in Kentucky. Three other people suffered injuries due to vehicle accidents caused by the shooting.[9][10][11], Kentucky,2024
1,"September 4, 2024","Winder, Georgia",4,9,13,2024 Apalachee High School shooting: At least four people were killed and nine others were wounded in a shooting at Apalachee High School. A male suspect was taken into custody.[12], Georgia,2024
2,"September 2, 2024","Forest Park, Illinois",4,0,4,2024 CTA shooting: Four people were fatally shot on a Chicago Transit Authority Blue Line train as it entered the Forest Park station.[13], Illinois,2024
3,"July 13, 2024","Meridian, Pennsylvania",2,3,5,"Attempted assassination of Donald Trump: A man opened fire on former President of the United States Donald Trump during a rally from a nearby rooftop, killing an audience member and wounding Trump and two other audience members. The shooter was killed by Secret Service personnel.[14]", Pennsylvania,2024
4,"July 6, 2024","Florence, Kentucky",5,3,8,2024 Florence shooting: 21-year-old Chase Garvey killed four and wounded three others at a residence before fleeing in a vehicle; he crashed into a ditch and committed suicide during a police pursuit.[15][16], Kentucky,2024
5,"June 23, 2024","Tampa, Florida",1,3,4,Killing of Julio Foolio: Jacksonville-based rapper Julio Foolio was killed and three others were injured in an 'ambush' shooting at the Holiday Inn parking lot near the University of South Florida campus.[17][18], Florida,2024
6,"June 21, 2024","Fordyce, Arkansas",4,10[n 1],14,"2024 Fordyce shooting: A 44-year-old man opened fire at the Mad Butcher Grocery Store, killing four civilians and injuring nine others, including two police officers. The suspect, identified as Travis Posey from a neighboring county, suffered a graze wound after being shot by police.[19]", Arkansas,2024
7,"June 15, 2024","Rochester Hills, Michigan",1,9,10,2024 Rochester Hills shooting: A 42-year-old man from another county randomly shot nine people including two children at the Brooklands Plaza Splash Pad before driving to his home and shooting himself.[20], Michigan,2024
8,"May 30, 2024","Minneapolis, Minnesota",4,3,7,"2024 Minneapolis shooting: A man in the Whittier neighborhood killed three people, including a responding officer, and wounded three more before being killed by police.[21][22]", Minnesota,2024
9,"April 29, 2024","Charlotte, North Carolina",5,4,9,"2024 Charlotte shootout: Four law enforcement officers were shot and killed and four others wounded after a suspect fired at a task force serving an arrest warrant for a man. The subject of the warrant, who was later identified as 39-year-old Terry Clark Hughes Jr., was also killed.[23][24]", North Carolina,2024
10,"February 18, 2024","Burnsville, Minnesota",4,1,5,"2024 Burnsville shooting: Police and medics were fired upon from a home while responding to a domestic incident. Two officers and a firefighter were killed while another officer suffered a gunshot wound.[25] After opening fire on first responders, the shooter fatally shot himself.[26]", Minnesota,2024
11,"February 14, 2024","Kansas City, Missouri",1,40[n 2],41,"2024 Kansas City parade shooting: Gunfire erupted during a parade at Kansas City Union Station to celebrate the Kansas City Chiefs winning Super Bowl LVIII. At least one person was killed and more than twenty others were injured. Three male suspects were detained, two of whom are juveniles and one of whom was shot.", Missouri,2024
12,"February 7, 2024","East Lansdowne, Pennsylvania",6,2,8,"2024 East Lansdowne shooting: A man killed his niece and shot two police officers before setting his house on fire, killing himself and four other relatives.[27]", Pennsylvania,2024
13,"January 21–22, 2024","Joliet, Illinois",9,1,10,"2024 Joliet shootings: A gunman opened fire at two homes, killing seven people. The gunman previously opened fire at two locations, killing a man and injuring one person, before fatally shooting himself in a confrontation with law enforcement officials near Natalia, Texas.", Illinois,2024
14,"January 4, 2024","Perry, Iowa",3,6,9,"Perry High School shooting: A 17-year-old male opened fire at Perry High School, killing one student and injuring seven others, including a school administrator, before committing suicide. The principal of the school, who was wounded during the incident, died from his wounds ten days later on January 14.[28][29]", Iowa,2024
